"product href","product src","theme_green","theme_green 2","theme_green 3","card_body","P_price"
"https://www.kuhl.in/products/luxus-super","https://d81er1momxfye.cloudfront.net/assets/images/products/luxus/luxus-super/luxus-super-teak-1.webp","Kühl LUXUS SUPER","","1320 mm","Designed after combining style, technology, and design, Kühl LUXUS SUPER has a night light & down light that makes your home more aesthetically pleasing.","₹18,059.00"
"https://www.kuhl.in/products/centauri-8","https://d81er1momxfye.cloudfront.net/assets/images/products/centauri/centauri-8/centauri-8-teak-1.webp","Kühl CENTAURI","8","1800 mm","Bring home unmatched elegance with the New Kühl Centauri 8, designed to redefine luxury and comfort.","₹28,999.00"
"https://www.kuhl.in/products/polariz-super-72","https://d81er1momxfye.cloudfront.net/assets/images/products/polariz/polariz-super-72/polariz-super-72-teak-1.webp","Kühl POLARIZ SUPER","72","1800 mm","Elevate your living space with the grandeur of New Kühl Polariz Super 72, a perfect blend of luxury design and advanced performance.","₹18,059.00"
"https://www.kuhl.in/products/centauri-6","https://d81er1momxfye.cloudfront.net/assets/images/products/centauri/centauri-6/centauri-6-teak-1.webp","Kühl CENTAURI","6","1670 mm","Bring home unmatched elegance with the New Kühl Centauri 6, designed to redefine luxury and comfort.","₹27,799.00"
"https://www.kuhl.in/products/polariz-gold-72","https://d81er1momxfye.cloudfront.net/assets/images/products/polariz/polariz-gold-72/polariz-gold-72-black-1.webp","Kühl POLARIZ GOLD","72","1800 mm","Elevate your living space with the grandeur of New Kühl Polariz Gold 72, a perfect blend of luxury design and advanced performance.","₹20,684.00"
"https://www.kuhl.in/products/centauri-5","https://d81er1momxfye.cloudfront.net/assets/images/products/centauri/centauri-5/centauri-5-teak-1.webp","Kühl CENTAURI","5","1320 mm","Bring home unmatched elegance with the New Kühl Centauri 5, designed to redefine luxury and comfort.","₹27,799.00"
"https://www.kuhl.in/products/polariz-star-66","https://d81er1momxfye.cloudfront.net/assets/images/products/polariz/polariz-star-66/polariz-star-66-teak-1.webp","Kühl POLARIZ STAR","66","1650 mm","Elevate your living space with the grandeur of New Kühl Polariz Star 66, a perfect blend of luxury design and advanced performance.","₹18,059.00"
"https://www.kuhl.in/products/ventis-6","https://d81er1momxfye.cloudfront.net/assets/images/products/ventis/ventis-6/ventis-6-white-1.webp","Kühl VENTIS 6""","","150 mm","Powered by advanced BLDC technology, New Kuhl ventis 6” restores freshness to your Kitchens and Bathroom.","₹1,700.00"
"https://www.kuhl.in/products/ventis-8","https://d81er1momxfye.cloudfront.net/assets/images/products/ventis/ventis-8/ventis-8-white-1.webp","Kühl VENTIS 8""","","200 mm","Powered by advanced BLDC technology, New Kuhl ventis 8” restores freshness to your Kitchens and Bathrooms expelling stale air, excess moisture and unwanted odours.","₹1,700.00"
"https://www.kuhl.in/products/brizo-rc-48-12","https://d81er1momxfye.cloudfront.net/assets/images/products/brizo/brizo-rc-48-12/brizo-rc-48-12-white-1.webp","Kühl BRIZO RC","48-12","300 mm","Kühl Brizo DC-48-12, designed for powerful and reliable cooling. Featuring an ice chamber and honeycomb cooling pads with 48L capacity, delivers long-lasting cooling.","₹7,019.00"
"https://www.kuhl.in/products/arctis-a9","https://d81er1momxfye.cloudfront.net/assets/images/products/arctis/arctis-a9/arctis-a9-white-1.webp","Kühl ARCTIS","A9","1200 mm","The Kühl Arctis A9 BLDC Fan doesn’t just circulate air, it transforms your space. Equipped with next-gen BLDC technology, it delivers powerful ...","₹5,299.00"
"https://www.kuhl.in/products/brise-star-duo-e5","https://d81er1momxfye.cloudfront.net/assets/images/products/brise/brise-star-duo-e5/brise-star-duo-e5-espresso-1.webp","Kühl BRISE STAR","E5-DUO","1320 mm","Take air performance to the next level with the Kühl Brise Star E5-DUO BLDC Fan. Powered by next-gen BLDC technology, it delivers superior and steady airflow while consuming 65% less electricity than regular fans","₹4,099.00"
"https://www.kuhl.in/products/fest-b2","https://d81er1momxfye.cloudfront.net/assets/images/products/fest/fest-b2/fest-b2-black-1.webp","Kühl FEST","B2","1200 mm","Experience the perfect blend of efficiency, performance and style. The Kühl Fest B2 is the BLDC fan that works on revolutionary technology operating smoothly with both remote and regulator, giving you complete control over your comfort.","₹2,749.00"
"https://www.kuhl.in/products/meridian-m3","https://d81er1momxfye.cloudfront.net/assets/images/products/meridian/meridian-m3/meridian-m3-white-1.webp","Kühl MERIDIAN","M3","1200 mm","Transform your living space with the Kühl Meridian M3 BLDC Fan where performance meets style and energy savings. Equipped with next-gen BLDC technology...","₹5,899.00"
"https://www.kuhl.in/products/prima-duo-a1","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-duo-a1/prima-duo-a1-white-1.webp","Kühl PRIMA","A1-DUO","1200 mm","The Kühl Prima A1‑DUO sets a new standard in BLDC Fans, delivering powerful airflow with next-gen BLDC technology while saving up to 65% electricity and providing superior cooling without compromise.","₹2,799.00"
"https://www.kuhl.in/products/prima-duo-a3","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-duo-a3/prima-duo-a3-white-1.webp","Kühl PRIMA","A3-DUO","1200 mm","Cool your home instantly with the Kühl Prima A3‑DUO BLDC Fan. Its next-gen BLDC technology ensured strong and steady airflow while saving up to 65% electricity compared to ordinary fans.","₹2,999.00"
"https://www.kuhl.in/products/brise-star-duo-e3","https://d81er1momxfye.cloudfront.net/assets/images/products/brise/brise-star-duo-e3/brise-star-duo-e3-white-1.webp","Kühl BRISE STAR","E3-DUO","1200 mm","Bring style and energy efficiency to your home with the Kühl Brise Star E3-DUO Fan. Powered by next-gen BLDC technology it delivers strong and steady airflow with up to 65% on electricity compared to the ordinary fans.","₹3,399.00"
"https://www.kuhl.in/products/brizo-dc-100-16","https://d81er1momxfye.cloudfront.net/assets/images/products/brizo/brizo-dc-100-16/brizo-dc-100-16-white-1.webp","Kühl BRIZO DC","100-16","400 mm","Kuhl Brizo RC-100-16, experience powerful and dependable cooling designed for modern homes. Equipped with a dedicated ice chamber and high-efficiency","₹10,696.00"
"https://www.kuhl.in/products/brizo-dc-60-16","https://d81er1momxfye.cloudfront.net/assets/images/products/brizo/brizo-dc-60-16/brizo-dc-60-16-white-1.webp","Kühl BRIZO DC","60-16","400 mm","Kuhl Brizo RC-60-16, experience powerful and dependable cooling designed for modern homes. Equipped with high-efficiency honeycomb cooling pads with 60L tank capacity","₹10,027.00"
"https://www.kuhl.in/products/brizo-ci-145-20","https://d81er1momxfye.cloudfront.net/assets/images/products/brizo/brizo-ci-145-20/brizo-ci-145-20-grey-1.webp","Kühl BRIZO CI","145-20","500 mm","Kuhl Brizo CI-145-20, experience powerful and dependable cooling designed for modern homes. Equipped with high-efficiency honeycomb cooling pads with 145L tank capacity","₹24,990.00"
"https://www.kuhl.in/products/brizo-dc-105-16","https://d81er1momxfye.cloudfront.net/assets/images/products/brizo/brizo-dc-105-16/brizo-dc-105-16-white-1.webp","Kühl BRIZO DC","105-16","400 mm","Kuhl Brizo RC-105-16, experience powerful and dependable cooling designed for modern homes. Equipped with high-efficiency honeycomb cooling pads with 105L tank capacity","₹11,030.00"
"https://www.kuhl.in/products/meridian-m53","https://d81er1momxfye.cloudfront.net/assets/images/products/meridian/meridian-m53/meridian-m53-teak-1.webp","Kühl MERIDIAN","M53","1400 mm","Transform your living space with the Kühl Meridian M53, a perfect fusion of sophisticated design","₹15,000.00"
